2002002,李三,18,计算机学院,群众,123123223
2002003,刘梅,19,土木学院,群众,13950035537
2002004,佳乐,21,外国语学院,共青团员,13950035537
2002007,黑二,19,计算机学院,共青团员,13950035537
2002008,小乐,22,计算机学院,共青团员,13950035537
2002009,小蓝,23,医算机学院,群众,13950035537
2002010,小小,25,航空学院,共青团员,13950035537
2002011,露西,24,航空学院,共青团员,13950035537
2002013,白月,18,土木学院,共青团员,13950035537
2002014,伍德,19,计算机学院,共青团员,13950035537
2002015,王心凌,20,外国语学院,群众,13950035537
2002016,逻辑,22,计算机学院,共青团员,13950035537
2002017,天,20,外国语学院,共青团员,13950035537
2002018,十元,18,计算机学院,共青团员,13950035537
2002019,伍德3,25,信息学院,群众,213123123
2002033,小江,22,土木学院,群众,13950035537
2002022,小乐we,22asd,计算机学院,共青团员,13950035537
2002025,白鹿,26,计算机学院,群众,1323002337
